symbol,rel_spread
AMP,0.016711722781636993
AMT,0.0037482517480419857
AN,0.010747185260453032
ANET,0.0075533661735597505
AON,0.008737607013364108
AOS,0.006696088874342583
APD,0.006989473683916218
APH,0.003737632832265614
ARES,0.016025641024613742
ARMK,0.004270082731713447
ARW,0.005919854279970922
ASH,0.007089241032716929
AVTR,0.0026109660551688163
AVY,0.012571362665787978
AWI,0.018489086669925398
AWK,0.00847590645044137
AXTA,0.0018175209008295871
AYI,0.021311612596688526
AZO,0.004936282367519252
BAC,0.0005658242171696678
BAH,0.012925969446189765
BALL,0.009022887321958073
BAX,0.0022075055175454794
BBY,0.0016249999997968183
BC,0.018639328981261413
BDX,0.0074808727680658145
BEN,0.0013262599463631734
BFAM,0.007844637902243823
BILL,0.007306889351292954
BIO,0.0278115252002031
BJ,0.007988461110841167
BK,0.010632292057712388
BKR,0.0035483197654877585
BLD,0.02771498771430669
BMY,0.00218150087212433
BR,0.014964274479173008
BRKb,0.0017911069457088463
BRO,0.002572678157631542
BSX,0.0027411167509907093
BURL,0.011625726607477089
BWA,0.0009149130830478046
BX,0.0029397354236060064
BYD,0.0034438775505810874
C,0.0004044080476793264
CABO,0.02687801516010493
CACI,0.01684229168481638
CAG,0.0017472335458663508
CAH,0.00130039011696747
CARR,0.0010493179431533594
CB,0.0014942365162411895
CBRE,0.0031938252709300683
CC,0.0032653061197833537
CCI,0.007061679354842589
CCK,0.003912685337323606
CCL,0.001114413075366027
CE,0.004752585964564403
CF,0.011325301203454756
CFG,0.0017871326446015107
CFR,0.013175562268112218
CHD,0.001861114341995876
CHE,0.019082401277811304
CHWY,0.005538461536757387
CI,0.004675425038459139
CIEN,0.007342387103492264
CL,0.002910822968654282
CLX,0.003450780965905264
CMA,0.0037130354059524045
CMG,0.0015777847896566522
CMI,0.004600653899939329
CMS,0.0011083402603063854
CNC,0.0008426966289768025
CNP,0.004180820484927838
COF,0.0069266055042693795
COHR,0.00773236547201105
COO,0.010407632262155573
COP,0.002747252746938214
COR,0.010254752739686368
CPAY,0.014383246394047894
CRL,0.025096413974264948
CRM,0.0009318578916353737
CSL,0.006405472636616752
CTLT,0.0001575051188915256
CTVA,0.0029277813918464853
CVNA,0.007061837952471423
CVS,0.003690976199097576
D,0.004416510955594361
DAL,0.0008807468731934064
DAR,0.019435736671023423
DAY,0.00029078220408677234
DD,0.0005800464035441607
DE,0.0037458926614732106
DECK,0.001883948756357096
DELL,0.0013547513062799848
DG,0.0048499545311862634
DGX,0.011404494381381776
DHI,0.008737864077064082
DHR,0.0037129294541658254
DKS,0.00780373831739229
DLB,0.0022918258208872912
DOV,0.004025399704953816
DPZ,0.006083294337707052
DRI,0.009344735798304119
DT,0.004061738423220519
DTE,0.00751879699191588
